Project Geographic District ,Project School Name,Project Type ,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date
10,I.S. 254 - BRONX,SCA CIP,Construction,In-Progress,07/07/2016,03/28/2018,
10,I.S. 254 - BRONX,SCA CIP,"CM, F&E",In-Progress,07/07/2016,03/28/2018,
10,I.S. 254 - BRONX,SCA CIP RESOA,Scope,Complete,07/27/2017,11/27/2017,08/03/2017
10,I.S. 254 - BRONX,SCA CIP RESOA,Design,In-Progress,08/04/2017,02/05/2018,
10,I.S. 254 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,I.S. 254 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,I.S. 254 - BRONX,DIIT - RESOA,Purch & Install,Complete,05/15/2017,01/15/2018,09/14/2017
10,I.S. 254 - BRONX,DIIT - RESOA,Purch & Install,Complete,05/15/2017,01/15/2018,09/14/2017
10,P.S. 279 - BRONX,SCA CIP,Scope,Complete,08/02/2016,12/19/2016,02/13/2017
10,P.S. 279 - BRONX,SCA CIP,Design,Complete,05/15/2017,10/16/2017,12/18/2017
10,P.S. 279 - BRONX,SCA CIP,Construction,PNS,PNS,PNS,PNS
10,P.S. 279 - BRONX,SCA CIP,"CM, F&E",PNS,PNS,PNS,PNS
10,P.S. 279 - BRONX,DOE- RESOA,Construction,PNS,PNS,PNS,PNS
10,I.S. 228 - BRONX,SCA Furniture & Equi,F&E,Complete,03/13/2017,F&E,11/13/2017
10,I.S. 331 - BRONX,Trust For Public Lan,Scope,PNS,PNS,PNS,PNS
10,I.S. 331 - BRONX,Trust For Public Lan,Design,PNS,PNS,PNS,PNS
10,I.S. 331 - BRONX,Trust For Public Lan,Construction,PNS,PNS,PNS,PNS
10,I.S. 331 - BRONX,Trust For Public Lan,F&E,PNS,PNS,PNS,PNS
10,P.S. 340 - BRONX,DIIT - RESOA,Purch & Install,Complete,05/01/2017,01/15/2018,07/27/2017
10,P.S. 33 ANNEX - BRONX,SCA Capacity,Scope,In-Progress,08/07/2017,02/26/2018,
10,P.S. 33 ANNEX - BRONX,SCA Capacity,Design,PNS,PNS,PNS,PNS
10,P.S. 33 ANNEX - BRONX,SCA Capacity,Construction,PNS,PNS,PNS,PNS
10,P.S. 33 ANNEX - BRONX,SCA Capacity,"CM,Art,F&E",PNS,PNS,PNS,PNS
10,P.S. 360 - BRONX,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
10,P.S. 360 - BRONX,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,P.S. 360 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,P.S. 360 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP,Scope,Complete,05/13/2014,09/26/2014,09/10/2014
10,M.S./H.S. 368 - BRONX,SCA CIP,Design,Complete,10/15/2014,03/20/2015,04/28/2015
10,M.S./H.S. 368 - BRONX,SCA CIP,Construction,In-Progress,06/02/2017,02/26/2018,
10,M.S./H.S. 368 - BRONX,SCA CIP,"CM, F&E",In-Progress,06/02/2017,02/26/2018,
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,M.S./H.S. 368 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
10,IN-TECH ACADEMY (M.S. / HIGH S,DIIT - RESOA,Purch & Install,In-Progress,11/17/2017,01/31/2018,
10,M.S./H.S. 342 - BRONX,SCA CIP,Scope,Complete,04/30/2013,09/13/2013,06/21/2013
10,M.S./H.S. 342 - BRONX,SCA CIP,Design,Complete,07/17/2013,12/18/2013,02/03/2014
10,M.S./H.S. 342 - BRONX,SCA CIP,Construction,In-Progress,04/10/2014,10/01/2015,
10,M.S./H.S. 342 - BRONX,SCA CIP,"CM, F&E",In-Progress,04/10/2014,10/01/2015,
10,M.S./H.S. 342 - BRONX,SCA CIP,Scope,Complete,06/29/2016,10/28/2016,01/17/2017
10,M.S./H.S. 342 - BRONX,SCA CIP,Design,Complete,01/17/2017,07/17/2017,04/20/2017
10,M.S./H.S. 342 - BRONX,SCA CIP,Construction,In-Progress,06/26/2017,04/01/2018,
10,M.S./H.S. 342 - BRONX,SCA CIP,"CM, F&E",In-Progress,06/26/2017,04/01/2018,
10,M.S./H.S. 342 - BRONX,SCA CIP RESOA,Scope,PNS,PNS,PNS,PNS
10,M.S./H.S. 342 - BRONX,SCA CIP RESOA,Design,PNS,PNS,PNS,PNS
10,M.S./H.S. 342 - BRONX,SCA CIP RESOA,Construction,PNS,PNS,PNS,PNS
10,M.S./H.S. 342 - BRONX,SCA CIP RESOA,"CM, F&E",PNS,PNS,PNS,PNS
